Korean,Correct,CorrectKorean,Wrong,WrongKorean
"야구공을 가져오라고 말하기","Bring the baseball.","야구공 가져와.","The bed is flying.","침대가 날고 있어요."
"농구를 하러 가자고 제안하기","Let's go play basketball!","농구하러 가자!","The clock is running.","시계가 달리고 있어요."
"축구 경기에서 이기고 싶다고 말하기","I want to win the soccer game.","축구 경기에서 이기고 싶어.","The sun is driving.","해가 운전하고 있어요."
"테니스 경기를 하자고 제안하기","Let's play a tennis match!","테니스 경기하자!","The river is singing.","강이 노래하고 있어요."
"수영장을 좋아하냐고 물어보기","Do you like the swimming pool?","수영장 좋아해?","The bird is laughing.","새가 웃고 있어요."
"농구를 잘하냐고 물어보기","Are you good at basketball?","농구 잘해?","The rock is flying.","바위가 날고 있어요."
"야구를 하자고 제안하기","Let's play baseball!","야구하자!","The moon is singing.","달이 노래하고 있어요."
"테니스 경기 언제 시작하냐고 물어보기","When does the tennis match start?","테니스 경기 언제 시작해?","The tree is driving.","나무가 운전하고 있어요."
"축구공을 가져오라고 말하기","Bring the soccer ball.","축구공 가져와.","The pencil is laughing.","연필이 웃고 있어요."
"수영장에서 놀자고 제안하기","Let's play at the swimming pool!","수영장에서 놀자!","The sun is flying.","해가 날고 있어요."
"농구 경기에서 뛰고 싶다고 말하기","I want to play in the basketball game.","농구 경기에서 뛰고 싶어.","The book is talking.","책이 말하고 있어요."
"야구 잘하냐고 물어보기","Are you good at baseball?","야구 잘해?","The clock is swimming.","시계가 수영하고 있어요."
"테니스 라켓을 잡아보라고 말하기","Hold the tennis racket.","테니스 라켓을 잡아봐.","The river is jumping.","강이 점프하고 있어요."
"수영하러 가고 싶냐고 물어보기","Do you want to go swimming?","수영하러 가고 싶어?","The pencil is flying.","연필이 날고 있어요."
"축구공을 던져달라고 말하기","Throw me the soccer ball.","축구공 던져줘.","The moon is talking.","달이 말하고 있어요."
"야구 경기를 보러 가자고 제안하기","Shall we go watch the baseball game?","야구 경기를 보러 갈까?","The tree is laughing.","나무가 웃고 있어요."
